افریقہ	África
زمرہ:آئی ای ای ای معیارات	Categoria:Normas IEEE
زمرہ:238ء کی پیدائشیں	Categoria:Nascidos em 238
زمرہ:ادارۂ برقی و برقیاتی مہندسین	Categoria:IEEE
زمرہ:239ء	Categoria:239
زمرہ:1003ء	Categoria:1003
سانچہ:تصفح روبہ	Wikipédia:Robôs/navegação
زمرہ:239ء کی وفیات	Categoria:Mortos em 239
زمرہ:240ء کی پیدائشیں	Categoria:Nascidos em 240
زمرہ:انسانی جسم	Categoria:Corpo humano
زمرہ:240ء کی وفیات	Categoria:Mortos em 240
زمرہ:1004ء	Categoria:1004
زمرہ:241ء کی پیدائشیں	Categoria:Nascidos em 241
زمرہ:242ء	Categoria:242
زمرہ:تنظیم ہائے معیاریت	Categoria:Organizações de padronização
زمرہ:1005ء	Categoria:1005
زمرہ:242ء کی وفیات	Categoria:Mortos em 242
زمرہ:243ء کی پیدائشیں	Categoria:Nascidos em 243
زمرہ:1006ء	Categoria:1006
زمرہ:244ء	Categoria:244
زمرہ:ملکی ذیلی تقسیمات کے دارالحکومت	Categoria:Capitais de subdivisões de países
زمرہ:245ء	Categoria:245
زمرہ:1007ء	Categoria:1007
زمرہ:245ء کی وفیات	Categoria:Mortos em 245
زمرہ:246ء کی پیدائشیں	Categoria:Nascidos em 246
زمرہ:247ء	Categoria:247
زمرہ:1008ء	Categoria:1008
زمرہ:247ء کی وفیات	Categoria:Mortos em 247
زمرہ:248ء کی پیدائشیں	Categoria:Nascidos em 248
زمرہ:1009ء	Categoria:1009
زمرہ:249ء	Categoria:249
لیاقت پور	Liaqatpur
زمرہ:250ء	Categoria:250
زمرہ:250ء کی وفیات	Categoria:Mortos em 250
زمرہ:251ء کی پیدائشیں	Categoria:Nascidos em 251
باب:منتخب ابواب	Wikipédia:Portais destacados
زمرہ:252ء	Categoria:252
زمرہ:252ء کی پیدائشیں	Categoria:Nascidos em 252
زمرہ:253ء	Categoria:253
زمرہ:253ء کی وفیات	Categoria:Mortos em 253
زمرہ:افسانوی مقامات	Categoria:Lugares fictícios
زمرہ:255ء	Categoria:255
زمرہ:255ء کی وفیات	Categoria:Mortos em 255
زمرہ:256ء کی پیدائشیں	Categoria:Nascidos em 256
زمرہ:257ء	Categoria:257
زمرہ:257ء کی وفیات	Categoria:Mortos em 257
زمرہ:258ء کی پیدائشیں	Categoria:Nascidos em 258
زمرہ:259ء	Categoria:259
زمرہ:259ء کی وفیات	Categoria:Mortos em 259
زمرہ:1894ء کی کتابیں	Categoria:Livros de 1894
زمرہ:260ء کی پیدائشیں	Categoria:Nascidos em 260
زمرہ:261ء	Categoria:261
زمرہ:261ء کی وفیات	Categoria:Mortos em 261
زمرہ:262ء	Categoria:262
معاونت:کتاب	Ajuda:Livros
زمرہ:263ء	Categoria:263
زمرہ:263ء کی وفیات	Categoria:Mortos em 263
زمرہ:آثاریات مصر	Categoria:Arqueologia do Egito
زمرہ:264ء	Categoria:264
زمرہ:264ء کی وفیات	Categoria:Mortos em 264
زمرہ:266ء	Categoria:266
زمرہ:266ء کی وفیات	Categoria:Mortos em 266
زمرہ:268ء	Categoria:268
زمرہ:268ء کی وفیات	Categoria:Mortos em 268
زمرہ:269ء کی پیدائشیں	Categoria:Nascidos em 269
زمرہ:270ء	Categoria:270
زمرہ:270ء کی وفیات	Categoria:Mortos em 270
زمرہ:271ء کی پیدائشیں	Categoria:Nascidos em 271
زمرہ:272ء	Categoria:272
زمرہ:272ء کی وفیات	Categoria:Mortos em 272
زمرہ:274ء	Categoria:274
زمرہ:274ء کی وفیات	Categoria:Mortos em 274
زمرہ:275ء کی پیدائشیں	Categoria:Nascidos em 275
زمرہ:276ء	Categoria:276
زمرہ:تانترا	Categoria:Tantra
زمرہ:276ء کی وفیات	Categoria:Mortos em 276
زمرہ:277ء کی پیدائشیں	Categoria:Nascidos em 277
زمرہ:278ء	Categoria:278
زمرہ:278ء کی وفیات	Categoria:Mortos em 278
زمرہ:279ء کی پیدائشیں	Categoria:Nascidos em 279
زمرہ:لیختینستائنی معاشرہ	Categoria:Sociedade do Liechtenstein
زمرہ:280ء	Categoria:280
زمرہ:280ء کی پیدائشیں	Categoria:Nascidos em 280
زمرہ:281ء	Categoria:281
زمرہ:281ء کی وفیات	Categoria:Mortos em 281
زمرہ:282ء کی پیدائشیں	Categoria:Nascidos em 282
زمرہ:283ء	Categoria:283
زمرہ:283ء کی وفیات	Categoria:Mortos em 283
زمرہ:لٹویا کے قومی پارک	Categoria:Parques nacionais da Letônia
زمرہ:284ء کی پیدائشیں	Categoria:Nascidos em 284
زمرہ:285ء	Categoria:285
زمرہ:285ء کی وفیات	Categoria:Mortos em 285
زمرہ:286ء کی پیدائشیں	Categoria:Nascidos em 286
زمرہ:287ء	Categoria:287
زمرہ:287ء کی وفیات	Categoria:Mortos em 287
زمرہ:737ء کی پیدائشیں	Categoria:Nascidos em 737
زمرہ:288ء کی پیدائشیں	Categoria:Nascidos em 288
زمرہ:289ء	Categoria:289
زمرہ:289ء کی وفیات	Categoria:Mortos em 289
زمرہ:290ء کی پیدائشیں	Categoria:Nascidos em 290
زمرہ:291ء کی پیدائشیں	Categoria:Nascidos em 291
زمرہ:292ء	Categoria:292
زمرہ:چلی کے خطے	Categoria:Províncias do Chile
زمرہ:292ء کی وفیات	Categoria:Mortos em 292
زمرہ:اقسام ملکی تقسیمات	Categoria:Tipos de subdivisões de países
زمرہ:294ء	Categoria:294
زمرہ:294ء کی پیدائشیں	Categoria:Nascidos em 294
زمرہ:295ء	Categoria:295
زمرہ:295ء کی وفیات	Categoria:Mortos em 295
زمرہ:296ء کی پیدائشیں	Categoria:Nascidos em 296
زمرہ:297ء	Categoria:297
زمرہ:297ء کی وفیات	Categoria:Mortos em 297
زمرہ:298ء کی پیدائشیں	Categoria:Nascidos em 298
زمرہ:298ء کی وفیات	Categoria:Mortos em 298
زمرہ:299ء کی پیدائشیں	Categoria:Nascidos em 299
زمرہ:300ء	Categoria:300
زمرہ:300ء کی وفیات	Categoria:Mortos em 300
زمرہ:302ء	Categoria:302
زمرہ:پاناما میں صحت	Categoria:Saúde no Panamá
زمرہ:302ء کی وفیات	Categoria:Mortos em 302
زمرہ:303ء کی وفیات	Categoria:Mortos em 303
زمرہ:305ء	Categoria:305
زمرہ:305ء کی پیدائشیں	Categoria:Nascidos em 305
فہرست ممالک بلحاظ فی کس خام ملکی پیداوار ماضی و مستقبل	Lista de países por PIB (nominal) per capita passado e futuro
زمرہ:306ء	Categoria:306
زمرہ:306ء کی وفیات	Categoria:Mortos em 306
زمرہ:1909ء کی کتابیں	Categoria:Livros de 1909
زمرہ:307ء کی پیدائشیں	Categoria:Nascidos em 307
زمرہ:1072ء	Categoria:1072
زمرہ:1889ء کی کتابیں	Categoria:Livros de 1889
زمرہ:1899ء کی کتابیں	Categoria:Livros de 1899
زمرہ:309ء	Categoria:309
زمرہ:1375ء کی وفیات	Categoria:Mortos em 1375
زمرہ:انسانیت	Categoria:Humanismo
زمرہ:1900ء کی کتابیں	Categoria:Livros de 1900
زمرہ:309ء کی وفیات	Categoria:Mortos em 309
زمرہ:پاناما کی سیاست	Categoria:Política do Panamá
زمرہ:1980ء کی کتابیں	Categoria:Livros de 1980
زمرہ:1920ء کی کتابیں	Categoria:Livros de 1920
زمرہ:1969ء کی کتابیں	Categoria:Livros de 1969
زمرہ:حافظہ	Categoria:Memória
زمرہ:1919ء کی کتابیں	Categoria:Livros de 1919
زمرہ:310ء کی پیدائشیں	Categoria:Nascidos em 310
زمرہ:1979ء کی کتابیں	Categoria:Livros de 1979
زمرہ:1374ء	Categoria:1374
سانچہ:Lang-nv	Predefinição:Lang-nv
زمرہ:311ء	Categoria:311
زمرہ:636ء	Categoria:636
زمرہ:ہوائیہ جزیات	Categoria:Componentes do avião
زمرہ:311ء کی وفیات	Categoria:Mortos em 311
زمرہ:1890ء کی کتابیں	Categoria:Livros de 1890
زمرہ:بھوٹان کی ذیلی تقسیم	Categoria:Subdivisões do Butão
زمرہ:312ء کی پیدائشیں	Categoria:Nascidos em 312
زمرہ:313ء	Categoria:313
زمرہ:زمبابوے میں مقامات عالمی ثقافتی ورثہ	Categoria:Patrimônio Mundial da UNESCO no Zimbabwe
زمرہ:مشروبات	Categoria:Bebidas
زمرہ:313ء کی وفیات	Categoria:Mortos em 313
زمرہ:شاکلہ طبیعیات	Categoria:Física de plasmas
زمرہ:314ء کی پیدائشیں	Categoria:Nascidos em 314
زمرہ:315ء	Categoria:315
زمرہ:جوڑ	Categoria:Articulações
زمرہ:315ء کی وفیات	Categoria:Mortos em 315
زمرہ:1127ء کی وفیات	Categoria:Mortos em 1127
سانچہ:Lang-frp	Predefinição:Lang-frp
زمرہ:316ء کی پیدائشیں	Categoria:Nascidos em 316
زمرہ:1321ء کی وفیات	Categoria:Mortos em 1321
زمرہ:317ء	Categoria:317
زمرہ:317ء کی وفیات	Categoria:Mortos em 317
سانچہ:Country data Kingdom of Great Britain	Predefinição:Country data Reino da Grã-Bretanha
سانچہ:Country data Swaziland	Predefinição:Country data Suazilândia
زمرہ:318ء	Categoria:318
زمرہ:318ء کی وفیات	Categoria:Mortos em 318
زمرہ:1990ء کی کتابیں	Categoria:Livros de 1990
زمرہ:گرین لینڈ کی سیاست	Categoria:Política da Groenlândia
زمرہ:319ء کی پیدائشیں	Categoria:Nascidos em 319
زمرہ:320ء	Categoria:320
زمرہ:320ء کی وفیات	Categoria:Mortos em 320
زمرہ:321ء کی پیدائشیں	Categoria:Nascidos em 321
زمرہ:قابل تجدید توانائی	Categoria:Energias renováveis
زمرہ:322ء	Categoria:322
زمرہ:322ء کی وفیات	Categoria:Mortos em 322
زمرہ:324ء	Categoria:324
زمرہ:324ء کی پیدائشیں	Categoria:Nascidos em 324
سانچہ:Country data United Kingdom of Great Britain and Ireland	Predefinição:Country data Reino Unido da Grã-Bretanha e Irlanda
زمرہ:1960ء کی کتابیں	Categoria:Livros de 1960
زمرہ:325ء	Categoria:325
زمرہ:325ء کی پیدائشیں	Categoria:Nascidos em 325
زمرہ:326ء	Categoria:326
زمرہ:326ء کی پیدائشیں	Categoria:Nascidos em 326
زمرہ:327ء	Categoria:327
سانچہ:Country data Chubut	Predefinição:Country data Chubut
زمرہ:327ء کی وفیات	Categoria:Mortos em 327
زمرہ:328ء کی پیدائشیں	Categoria:Nascidos em 328
زمرہ:بلحاظ ملک بنائی گئی فلمیں	Categoria:Filmes por país de ambientação
زمرہ:329ء	Categoria:329
زمرہ:329ء کی وفیات	Categoria:Mortos em 329
زمرہ:330ء کی پیدائشیں	Categoria:Nascidos em 330
زمرہ:331ء	Categoria:331
زمرہ:331ء کی پیدائشیں	Categoria:Nascidos em 331
زمرہ:حیوانیات	Categoria:Zoologia
زمرہ:332ء	Categoria:332
زمرہ:1127ء	Categoria:1127
زمرہ:333ء کی پیدائشیں	Categoria:Nascidos em 333
زمرہ:334ء	Categoria:334
زمرہ:334ء کی وفیات	Categoria:Mortos em 334
زمرہ:آبادیات شام	Categoria:Demografia da Síria
زمرہ:335ء کی پیدائشیں	Categoria:Nascidos em 335
زمرہ:336ء	Categoria:336
زمرہ:336ء کی وفیات	Categoria:Mortos em 336
زمرہ:338ء	Categoria:338
زمرہ:338ء کی وفیات	Categoria:Mortos em 338
زمرہ:339ء کی پیدائشیں	Categoria:Nascidos em 339
زمرہ:339ء کی وفیات	Categoria:Mortos em 339
زمرہ:340ء کی پیدائشیں	Categoria:Nascidos em 340
زمرہ:تخلیقات بلحاظ قومیت	Categoria:Obras por país
زمرہ:341ء	Categoria:341
زمرہ:341ء کی پیدائشیں	Categoria:Nascidos em 341
زمرہ:کرغیزستانی معاشرہ	Categoria:Sociedade do Quirguistão
زمرہ:342ء	Categoria:342
زمرہ:گیارہویں صدی کی وفیات	Categoria:Mortos no século XI
زمرہ:342ء کی وفیات	Categoria:Mortos em 342
زمرہ:343ء کی پیدائشیں	Categoria:Nascidos em 343
زمرہ:344ء	Categoria:344
زمرہ:344ء کی وفیات	Categoria:Mortos em 344
زمرہ:آبادیات تائیوان	Categoria:Demografia da República da China
زمرہ:345ء کی پیدائشیں	Categoria:Nascidos em 345
زمرہ:جغرافیہ تاجکستان	Categoria:Geografia do Tajiquistão
زمرہ:آبادیات تاجکستان	Categoria:Demografia do Tajiquistão
زمرہ:346ء	Categoria:346
زمرہ:346ء کی وفیات	Categoria:Mortos em 346
زمرہ:347ء کی پیدائشیں	Categoria:Nascidos em 347
زمرہ:348ء کی پیدائشیں	Categoria:Nascidos em 348
زمرہ:349ء	Categoria:349
زمرہ:349ء کی وفیات	Categoria:Mortos em 349
زمرہ:350ء کی پیدائشیں	Categoria:Nascidos em 350
زمرہ:350ء کی وفیات	Categoria:Mortos em 350
زمرہ:351ء	Categoria:351
زمرہ:351ء کی پیدائشیں	Categoria:Nascidos em 351
زمرہ:352ء	Categoria:352
زمرہ:352ء کی وفیات	Categoria:Mortos em 352
زمرہ:354ء	Categoria:354
زمرہ:354ء کی وفیات	Categoria:Mortos em 354
زمرہ:355ء کی وفیات	Categoria:Mortos em 355
زمرہ:357ء	Categoria:357
زمرہ:357ء کی وفیات	Categoria:Mortos em 357
زمرہ:358ء کی پیدائشیں	Categoria:Nascidos em 358
زمرہ:359ء	Categoria:359
زمرہ:359ء کی وفیات	Categoria:Mortos em 359
زمرہ:360ء کی پیدائشیں	Categoria:Nascidos em 360
زمرہ:360ء کی وفیات	Categoria:Mortos em 360
زمرہ:362ء	Categoria:362
زمرہ:362ء کی پیدائشیں	Categoria:Nascidos em 362
زمرہ:363ء	Categoria:363
زمرہ:363ء کی وفیات	Categoria:Mortos em 363
زمرہ:364ء کی پیدائشیں	Categoria:Nascidos em 364
زمرہ:365ء	Categoria:365
زمرہ:365ء کی پیدائشیں	Categoria:Nascidos em 365
زمرہ:366ء	Categoria:366
زمرہ:366ء کی وفیات	Categoria:Mortos em 366
زمرہ:368ء	Categoria:368
زمرہ:368ء کی پیدائشیں	Categoria:Nascidos em 368
زمرہ:369ء	Categoria:369
زمرہ:369ء کی وفیات	Categoria:Mortos em 369
زمرہ:370ء کی پیدائشیں	Categoria:Nascidos em 370
زمرہ:371ء	Categoria:371
زمرہ:371ء کی وفیات	Categoria:Mortos em 371
زمرہ:372ء کی پیدائشیں	Categoria:Nascidos em 372
زمرہ:373ء کی پیدائشیں	Categoria:Nascidos em 373
زمرہ:374ء	Categoria:374
سانچہ:Lang-sh	Predefinição:Lang-sh
زمرہ:375ء	Categoria:375
زمرہ:375ء کی وفیات	Categoria:Mortos em 375
زمرہ:376ء کی پیدائشیں	Categoria:Nascidos em 376
زمرہ:377ء	Categoria:377
زمرہ:377ء کی وفیات	Categoria:Mortos em 377
زمرہ:378ء کی پیدائشیں	Categoria:Nascidos em 378
زمرہ:379ء	Categoria:379
زمرہ:379ء کی وفیات	Categoria:Mortos em 379
زمرہ:380ء کی وفیات	Categoria:Mortos em 380
زمرہ:1974ء کی کتابیں	Categoria:Livros de 1974
زمرہ:1962ء کی کتابیں	Categoria:Livros de 1962
زمرہ:1986ء کی کتابیں	Categoria:Livros de 1986
زمرہ:381ء کی پیدائشیں	Categoria:Nascidos em 381
زمرہ:1923ء کی کتابیں	Categoria:Livros de 1923
زمرہ:382ء	Categoria:382
زمرہ:382ء کی پیدائشیں	Categoria:Nascidos em 382
زمرہ:2011ء کی کتابیں	Categoria:Livros de 2011
زمرہ:383ء	Categoria:383
زمرہ:383ء کی وفیات	Categoria:Mortos em 383
زمرہ:جغرافیہ زمبابوے کے نامکمل مضامین	Categoria:!Esboços sobre geografia do Zimbabwe
زمرہ:384ء کی پیدائشیں	Categoria:Nascidos em 384
زمرہ:1652ء کی وفیات	Categoria:Mortos em 1652
زمرہ:385ء	Categoria:385
زمرہ:1657ء کی اموات	Categoria:Mortos em 1657
زمرہ:385ء کی وفیات	Categoria:Mortos em 385
زمرہ:2005ء کی وفیات	Categoria:Mortos em 2005
زمرہ:386ء کی پیدائشیں	Categoria:Nascidos em 386
زمرہ:387ء	Categoria:387
زمرہ:387ء کی وفیات	Categoria:Mortos em 387
زمرہ:388ء کی پیدائشیں	Categoria:Nascidos em 388
زمرہ:فرانسیسی ناولیں	Categoria:Romances da França
زمرہ:389ء	Categoria:389
زمرہ:389ء کی وفیات	Categoria:Mortos em 389
زمرہ:390ء کی پیدائشیں	Categoria:Nascidos em 390
زمرہ:391ء	Categoria:391
زمرہ:1952ء میں آفات	Categoria:Desastres em 1952
زمرہ:391ء کی وفیات	Categoria:Mortos em 391
زمرہ:392ء کی پیدائشیں	Categoria:Nascidos em 392
زمرہ:تفریقی معادلات	Categoria:Equações diferenciais
زمرہ:393ء	Categoria:393
زمرہ:393ء کی وفیات	Categoria:Mortos em 393
زمرہ:سلطنت عمان کے عسکری آلات	Categoria:Equipamentos militares de Omã
زمرہ:ادب بلحاظ دور	Categoria:Literatura por data
زمرہ:394ء کی پیدائشیں	Categoria:Nascidos em 394
زمرہ:395ء	Categoria:395
زمرہ:395ء کی وفیات	Categoria:Mortos em 395
سانچہ:شماریات فٹبال کھلاڑی 5	Predefinição:Football player statistics 5
زمرہ:396ء کی پیدائشیں	Categoria:Nascidos em 396
زمرہ:1983ء کی پیدائشیں	Categoria:Nascidos em 1983
زمرہ:397ء	Categoria:397
زمرہ:397ء کی وفیات	Categoria:Mortos em 397
زمرہ:398ء کی پیدائشیں	Categoria:Nascidos em 398
زمرہ:399ء	Categoria:399
زمرہ:1617ء کی پیدائشیں	Categoria:Nascidos em 1617
زمرہ:399ء کی وفیات	Categoria:Mortos em 399
زمرہ:400ء کی پیدائشیں	Categoria:Nascidos em 400
زمرہ:401ء	Categoria:401
سانچہ:خانہ معلومات گلیشیر	Predefinição:Info/Glaciar
زمرہ:401ء کی وفیات	Categoria:Mortos em 401
زمرہ:انڈونیشیا کے عسکری آلات	Categoria:Equipamentos militares da Indonésia
زمرہ:403ء	Categoria:403
سانچہ:CUW	Predefinição:CUW
زمرہ:403ء کی وفیات	Categoria:Mortos em 403
زمرہ:405ء	Categoria:405
زمرہ:405ء کی وفیات	Categoria:Mortos em 405
زمرہ:کراسنویارسک کرائی کے شہر اور قصبات	Categoria:Cidades do krai de Krasnoiarsk
زمرہ:406ء کی پیدائشیں	Categoria:Nascidos em 406
زمرہ:407ء	Categoria:407
زمرہ:407ء کی وفیات	Categoria:Mortos em 407
زمرہ:408ء کی پیدائشیں	Categoria:Nascidos em 408
زمرہ:409ء	Categoria:409
زمرہ:409ء کی وفیات	Categoria:Mortos em 409
زمرہ:410ء کی پیدائشیں	Categoria:Nascidos em 410
زمرہ:411ء	Categoria:411
زمرہ:411ء کی وفیات	Categoria:Mortos em 411
زمرہ:412ء کی پیدائشیں	Categoria:Nascidos em 412
زمرہ:413ء	Categoria:413
زمرہ:414ء	Categoria:414
زمرہ:414ء کی وفیات	Categoria:Mortos em 414
زمرہ:415ء کی پیدائشیں	Categoria:Nascidos em 415
زمرہ:416ء	Categoria:416
زمرہ:1236ء کی وفیات	Categoria:Mortos em 1236
زمرہ:416ء کی وفیات	Categoria:Mortos em 416
زمرہ:418ء	Categoria:418
زمرہ:418ء کی وفیات	Categoria:Mortos em 418
زمرہ:419ء کی پیدائشیں	Categoria:Nascidos em 419
زمرہ:420ء	Categoria:420
زمرہ:420ء کی وفیات	Categoria:Mortos em 420
زمرہ:422ء	Categoria:422
